Values,Timestamp,MA_1000,MA_5000,MA_5,diff1,diff2
99,2024-06-26 09:36:30,,,99.8,-1.0,-1.0
98,2024-06-26 09:42:33,,,98.8,-1.0,-1.0
97,2024-06-26 09:57:38,,,97.8,-1.0,-1.0
97,2024-06-26 09:58:47,,,97.8,-1.0,-1.0
96,2024-06-26 10:11:06,,,96.8,-1.0,-1.0
95,2024-06-26 10:33:38,,,95.8,-1.0,-1.0
94,2024-06-26 10:41:38,,,94.8,-1.0,-1.0
93,2024-06-26 10:54:01,,,93.8,-1.0,-1.0
92,2024-06-26 10:58:56,,,92.8,-1.0,-1.0
92,2024-06-26 10:59:29,,,92.6,-1.0,-1.0
91,2024-06-26 11:04:10,,,91.8,-1.0,-1.0
90,2024-06-26 11:08:35,,,90.8,-1.0,-1.0
89,2024-06-26 11:23:57,,,89.8,-1.0,-1.0
88,2024-06-26 11:30:51,,,88.8,-1.0,-1.0
87,2024-06-26 11:34:25,,,87.8,-1.0,-1.0
86,2024-06-26 11:37:10,,,86.8,-1.0,-1.0
85,2024-06-26 11:39:55,,,85.8,-1.0,-1.0
84,2024-06-26 11:41:51,,,84.8,-1.0,-1.0
83,2024-06-26 11:47:37,,,83.8,-1.0,-1.0
82,2024-06-26 11:49:32,,,82.8,-1.0,-1.0
82,2024-06-26 11:50:06,,,82.6,-1.0,-2.0
81,2024-06-26 11:54:12,,,81.8,-1.0,-1.0
80,2024-06-26 11:56:25,,,80.8,-1.0,-1.0
79,2024-06-26 11:59:42,,,79.8,-1.0,-1.0
78,2024-06-26 12:01:06,,,78.8,-1.0,-1.0
78,2024-06-26 12:01:39,,,78.6,-1.0,-2.0
77,2024-06-26 12:05:12,,,77.8,-1.0,-1.0
75,2024-06-26 12:12:23,,,76.6,-2.0,-2.0
74,2024-06-26 12:13:45,,,74.8,-1.0,-1.0
73,2024-06-26 12:17:37,,,73.8,-1.0,-1.0
72,2024-06-26 12:20:05,,,72.8,-1.0,-1.0
71,2024-06-26 12:23:23,,,71.8,-1.0,-1.0
70,2024-06-26 12:25:35,,,70.8,-1.0,-1.0
69,2024-06-26 12:28:35,,,69.8,-1.0,-1.0
68,2024-06-26 12:31:38,,,68.8,-1.0,-1.0
67,2024-06-26 12:34:23,,,67.8,-1.0,-1.0
66,2024-06-26 12:37:57,,,66.8,-1.0,-1.0
65,2024-06-26 12:41:48,,,65.8,-1.0,-1.0
64,2024-06-26 12:46:12,,,64.8,-1.0,-1.0
63,2024-06-26 12:50:02,,,63.8,-1.0,-1.0
62,2024-06-26 12:51:41,,,62.8,-1.0,-1.0
61,2024-06-26 12:54:44,,,61.8,-1.0,-1.0
61,2024-06-26 12:56:06,,,61.2,-1.0,-2.0
60,2024-06-26 13:00:29,,,60.8,-1.0,-1.0
59,2024-06-26 13:04:03,,,59.8,-1.0,-1.0
58,2024-06-26 13:05:59,,,58.8,-1.0,-1.0
58,2024-06-26 13:07:55,,,58.8,-1.0,-1.0
57,2024-06-26 13:12:03,,,57.8,-1.0,-1.0
56,2024-06-26 13:13:59,,,56.8,-1.0,-1.0
55,2024-06-26 13:17:33,,,55.8,-1.0,-1.0
54,2024-06-26 13:19:44,,,54.8,-1.0,-1.0
53,2024-06-26 13:24:26,,,53.8,-1.0,-1.0
52,2024-06-26 13:27:11,,,52.8,-1.0,-1.0
51,2024-06-26 13:35:26,,,51.8,-1.0,-1.0
50,2024-06-26 13:37:20,,,50.8,-1.0,-1.0
49,2024-06-26 13:40:23,,,49.8,-1.0,-1.0
48,2024-06-26 13:42:50,,,48.8,-1.0,-1.0
47,2024-06-26 13:46:26,,,47.8,-1.0,-1.0
46,2024-06-26 13:48:20,80.228,,46.8,-1.0,-1.0
45,2024-06-26 13:51:23,79.633,,45.8,-1.0,-1.0
44,2024-06-26 13:54:06,79.082,,44.8,-1.0,-1.0
43,2024-06-26 13:57:26,78.355,,43.8,-1.0,-1.0
42,2024-06-26 13:59:36,77.962,,42.8,-1.0,-1.0
41,2024-06-26 14:04:35,76.882,,41.8,-1.0,-1.0
89,2024-06-26 15:24:59,76.467,,89.8,-1.0,-1.0
88,2024-06-26 15:29:57,76.448,,89.2,-1.0,-1.0
87,2024-06-26 15:30:29,76.427,,88.2,-1.0,-1.0
86,2024-06-26 15:33:31,76.294,,86.8,-1.0,-1.0
85,2024-06-26 15:37:03,76.125,,85.8,-1.0,-1.0
84,2024-06-26 15:39:00,76.02,,84.8,-1.0,-1.0
83,2024-06-26 15:44:30,75.726,,83.8,-1.0,-1.0
82,2024-06-26 15:46:25,75.613,,82.8,-1.0,-1.0
81,2024-06-26 15:50:16,75.402,,81.8,-1.0,-1.0
80,2024-06-26 15:53:00,75.225,,80.8,-1.0,-1.0
80,2024-06-26 15:54:05,75.161,,80.4,-1.0,-1.0
79,2024-06-26 15:57:07,74.968,,79.8,-1.0,-1.0
78,2024-06-26 15:59:21,74.814,,78.8,-1.0,-1.0
77,2024-06-26 16:04:17,74.687,,77.8,-1.0,-1.0
76,2024-06-26 16:05:38,74.591,,76.8,-1.0,-1.0
75,2024-06-26 16:08:39,74.47,,75.8,-1.0,-1.0
74,2024-06-26 16:10:37,74.322,,74.8,-1.0,-1.0
73,2024-06-26 16:13:37,74.057,,73.8,-1.0,-1.0
